TEAM_ID,ABBREVIATION,date,rating
1610612746,LAC,2015-11-02,1529.4249887221547
1610612747,LAL,2015-11-02,1470.5750112778453
1610612748,MIA,2015-11-02,1509.1700363093148
1610612749,MIL,2015-11-02,1471.7049081581965
1610612750,MIN,2015-11-02,1520.0
1610612751,BKN,2015-11-02,1470.838437642876
1610612752,NYK,2015-11-02,1510.0
1610612753,ORL,2015-11-02,1471.4116880386264
1610612754,IND,2015-11-02,1470.5749835015706
1610612755,PHI,2015-11-02,1480.0082819270542
1610612756,PHX,2015-11-02,1510.525849522552
1610612757,POR,2015-11-02,1489.1864067941278
1610612758,SAC,2015-11-02,1490.5750112778453
1610612759,SAS,2015-11-02,1510.0080435540322
1610612760,OKC,2015-11-02,1528.8664744330495
1610612761,TOR,2015-11-02,1528.8701031196488
1610612762,UTA,2015-11-02,1509.696196327641
1610612763,MEM,2015-11-02,1509.161562357124
1610612764,WAS,2015-11-02,1508.8499774443094
1610612765,DET,2015-11-02,1529.71225631668
1610612766,CHA,2015-11-02,1471.1646507572923
1610612739,CLE,2015-11-02,1510.56721209952
1610612744,GSW,2015-11-02,1528.3032688014086
1610612737,ATL,2015-11-03,1519.410360520553
1610612738,BOS,2015-11-03,1490.000238373022
1610612740,NOP,2015-11-03,1471.409463604066
1610612741,CHI,2015-11-03,1518.8755795558989
1610612742,DAL,2015-11-03,1509.4249887221547
1610612743,DEN,2015-11-03,1490.5585142891052
1610612745,HOU,2015-11-03,1482.7722917866972
1610612746,LAC,2015-11-03,1538.881563650582
1610612747,LAL,2015-11-03,1470.5750112778453
1610612748,MIA,2015-11-03,1509.1700363093148
1610612749,MIL,2015-11-03,1481.6799691837484
1610612750,MIN,2015-11-03,1509.115431523257
1610612751,BKN,2015-11-03,1460.863376617324
1610612752,NYK,2015-11-03,1500.000231512095
1610612753,ORL,2015-11-03,1471.4116880386264
1610612754,IND,2015-11-03,1470.5749835015706
1610612755,PHI,2015-11-03,1470.885577495027
1610612756,PHX,2015-11-03,1501.0692745941249
1610612757,POR,2015-11-03,1500.0709752708708
1610612758,SAC,2015-11-03,1490.5750112778453
1610612759,SAS,2015-11-03,1520.007812041937
1610612760,OKC,2015-11-03,1517.2196891986828
1610612761,TOR,2015-11-03,1528.8701031196488
1610612762,UTA,2015-11-03,1509.696196327641
1610612763,MEM,2015-11-03,1499.7119481924383
1610612764,WAS,2015-11-03,1508.8499774443094
1610612765,DET,2015-11-03,1529.71225631668
1610612766,CHA,2015-11-03,1471.1646507572923
1610612739,CLE,2015-11-03,1519.6899165315472
1610612744,GSW,2015-11-03,1537.7528829660944
1610612737,ATL,2015-11-04,1529.1157056161649
1610612738,BOS,2015-11-04,1490.000238373022
1610612740,NOP,2015-11-04,1461.4095276284393
1610612741,CHI,2015-11-04,1507.51091598086
1610612742,DAL,2015-11-04,1499.9840804659473
1610612743,DEN,2015-11-04,1499.9839762641159
1610612745,HOU,2015-11-04,1482.7722917866972
1610612746,LAC,2015-11-04,1538.881563650582
1610612747,LAL,2015-11-04,1461.1495493028347
1610612748,MIA,2015-11-04,1499.464691213703
1610612749,MIL,2015-11-04,1481.6799691837484
1610612750,MIN,2015-11-04,1509.115431523257
1610612751,BKN,2015-11-04,1460.863376617324
1610612752,NYK,2015-11-04,1500.000231512095
1610612753,ORL,2015-11-04,1481.4116240142532
1610612754,IND,2015-11-04,1482.2608416696733
1610612755,PHI,2015-11-04,1470.885577495027
1610612756,PHX,2015-11-04,1501.0692745941249
1610612757,POR,2015-11-04,1500.0709752708708
1610612758,SAC,2015-11-04,1480.8379328529672
1610612759,SAS,2015-11-04,1520.007812041937
1610612760,OKC,2015-11-04,1517.2196891986828
1610612761,TOR,2015-11-04,1538.3110113758562
1610612762,UTA,2015-11-04,1509.696196327641
1610612763,MEM,2015-11-04,1509.4490266173163
1610612764,WAS,2015-11-04,1508.8499774443094
1610612765,DET,2015-11-04,1518.0263981485773
1610612766,CHA,2015-11-04,1482.529314332331
1610612739,CLE,2015-11-04,1519.6899165315472
1610612744,GSW,2015-11-04,1537.7528829660944
1610612737,ATL,2015-11-05,1537.1761317698042
1610612738,BOS,2015-11-05,1479.7775174671192
1610612740,NOP,2015-11-05,1461.4095276284393
1610612741,CHI,2015-11-05,1507.51091598086
1610612742,DAL,2015-11-05,1499.9840804659473
1610612743,DEN,2015-11-05,1499.9839762641159
1610612745,HOU,2015-11-05,1492.7331288203013
1610612746,LAC,2015-11-05,1528.8490777233756
1610612747,LAL,2015-11-05,1461.1495493028347
1610612748,MIA,2015-11-05,1499.464691213703
1610612749,MIL,2015-11-05,1491.3693815433385
1610612750,MIN,2015-11-05,1509.115431523257
1610612751,BKN,2015-11-05,1452.8029504636847
1610612752,NYK,2015-11-05,1490.566340283197
1610612753,ORL,2015-11-05,1471.4507869806491
1610612754,IND,2015-11-05,1492.4835625755761
1610612755,PHI,2015-11-05,1461.196165135437
1610612756,PHX,2015-11-05,1510.4876270364855
1610612757,POR,2015-11-05,1510.347940549978
1610612758,SAC,2015-11-05,1471.4195804106066
1610612759,SAS,2015-11-05,1509.6867741079714
1610612760,OKC,2015-11-05,1507.8260016413635
1610612761,TOR,2015-11-05,1547.7046989331755
1610612762,UTA,2015-11-05,1499.419231048534
1610612763,MEM,2015-11-05,1509.4490266173163
1610612764,WAS,2015-11-05,1519.1710153782751
1610612765,DET,2015-11-05,1518.0263981485773
1610612766,CHA,2015-11-05,1482.529314332331
1610612739,CLE,2015-11-05,1529.1238077604453
1610612744,GSW,2015-11-05,1547.7853688933008
1610612737,ATL,2015-11-06,1537.1761317698042
1610612738,BOS,2015-11-06,1479.7775174671192
1610612740,NOP,2015-11-06,1461.4095276284393
1610612741,CHI,2015-11-06,1517.519984872685
1610612742,DAL,2015-11-06,1489.4821141525288
1610612743,DEN,2015-11-06,1489.9677216044975
1610612745,HOU,2015-11-06,1492.7331288203013
1610612746,LAC,2015-11-06,1528.8490777233756
1610612747,LAL,2015-11-06,1461.1495493028347
1610612748,MIA,2015-11-06,1509.742390431018
1610612749,MIL,2015-11-06,1491.3693815433385
1610612750,MIN,2015-11-06,1498.837732305942
1610612751,BKN,2015-11-06,1452.8029504636847
1610612752,NYK,2015-11-06,1490.566340283197
1610612753,ORL,2015-11-06,1471.4507869806491
1610612754,IND,2015-11-06,1492.4835625755761
1610612755,PHI,2015-11-06,1461.196165135437
1610612756,PHX,2015-11-06,1510.4876270364855
1610612757,POR,2015-11-06,1520.3220677849436
1610612758,SAC,2015-11-06,1471.4195804106066
1610612759,SAS,2015-11-06,1509.6867741079714
1610612760,OKC,2015-11-06,1497.8169327495386
1610612761,TOR,2015-11-06,1547.7046989331755
1610612762,UTA,2015-11-06,1509.4354857081523
1610612763,MEM,2015-11-06,1499.4748993823507
1610612764,WAS,2015-11-06,1519.1710153782751
1610612765,DET,2015-11-06,1518.0263981485773
1610612766,CHA,2015-11-06,1493.0312806457496
1610612739,CLE,2015-11-06,1529.1238077604453
1610612744,GSW,2015-11-06,1547.7853688933008
1610612737,ATL,2015-11-07,1545.0293176302625
1610612738,BOS,2015-11-07,1490.9065195313428
1610612740,NOP,2015-11-07,1453.556341767981
1610612741,CHI,2015-11-07,1517.519984872685
1610612742,DAL,2015-11-07,1489.4821141525288
1610612743,DEN,2015-11-07,1481.6166539196083
1610612745,HOU,2015-11-07,1502.120443953811
1610612746,LAC,2015-11-07,1528.8490777233756
1610612747,LAL,2015-11-07,1470.9093610815266
1610612748,MIA,2015-11-07,1499.2460496232327
1610612749,MIL,2015-11-07,1501.3462681990645
1610612750,MIN,2015-11-07,1498.837732305942
1610612751,BKN,2015-11-07,1443.0431386849928
1610612752,NYK,2015-11-07,1480.589453627471
1610612753,ORL,2015-11-07,1483.6109765055053
1610612754,IND,2015-11-07,1502.9799033833615
1610612755,PHI,2015-11-07,1453.1267436912844
1610612756,PHX,2015-11-07,1500.7045762645066
1610612757,POR,2015-11-07,1520.3220677849436
1610612758,SAC,2015-11-07,1462.032265277097
1610612759,SAS,2015-11-07,1509.6867741079714
1610612760,OKC,2015-11-07,1497.8169327495386
1610612761,TOR,2015-11-07,1535.5445094083193
1610612762,UTA,2015-11-07,1509.4354857081523
1610612763,MEM,2015-11-07,1499.4748993823507
1610612764,WAS,2015-11-07,1508.0420133140515
1610612765,DET,2015-11-07,1527.8094489205562
1610612766,CHA,2015-11-07,1493.0312806457496
1610612739,CLE,2015-11-07,1537.1932292045979
1610612744,GSW,2015-11-07,1556.13643657819
1610612737,ATL,2015-11-08,1553.9687410263982
1610612738,BOS,2015-11-08,1490.9065195313428
1610612740,NOP,2015-11-08,1444.5866989994945
1610612741,CHI,2015-11-08,1506.9827840757732
1610612742,DAL,2015-11-08,1498.4517569210152
1610612743,DEN,2015-11-08,1481.6166539196083
1610612745,HOU,2015-11-08,1512.8882417584068
1610612746,LAC,2015-11-08,1518.0812799187797
1610612747,LAL,2015-11-08,1470.9093610815266
1610612748,MIA,2015-11-08,1499.2460496232327
1610612749,MIL,2015-11-08,1509.6837456534104
1610612750,MIN,2015-11-08,1509.3749331028537
1610612751,BKN,2015-11-08,1434.705661230647
1610612752,NYK,2015-11-08,1480.589453627471
1610612753,ORL,2015-11-08,1492.7358143933993
1610612754,IND,2015-11-08,1502.9799033833615
1610612755,PHI,2015-11-08,1444.0019058033904
1610612756,PHX,2015-11-08,1500.7045762645066
1610612757,POR,2015-11-08,1520.3220677849436
1610612758,SAC,2015-11-08,1454.6764543985823
1610612759,SAS,2015-11-08,1519.2077573554125
1610612760,OKC,2015-11-08,1497.8169327495386
1610612761,TOR,2015-11-08,1535.5445094083193
1610612762,UTA,2015-11-08,1519.1488755060043
1610612763,MEM,2015-11-08,1489.7615095844988
1610612764,WAS,2015-11-08,1499.1025899179158
1610612765,DET,2015-11-08,1527.8094489205562
1610612766,CHA,2015-11-08,1483.5102973983085
1610612739,CLE,2015-11-08,1537.1932292045979
1610612744,GSW,2015-11-08,1563.4922474567045
1610612737,ATL,2015-11-09,1553.9687410263982
1610612738,BOS,2015-11-09,1490.9065195313428
1610612740,NOP,2015-11-09,1444.5866989994945
1610612741,CHI,2015-11-09,1506.9827840757732
1610612742,DAL,2015-11-09,1498.4517569210152
1610612743,DEN,2015-11-09,1481.6166539196083
1610612745,HOU,2015-11-09,1512.8882417584068
1610612746,LAC,2015-11-09,1518.0812799187797
1610612747,LAL,2015-11-09,1461.187904470631
1610612748,MIA,2015-11-09,1510.2870186038458
1610612749,MIL,2015-11-09,1509.6837456534104
1610612750,MIN,2015-11-09,1509.3749331028537
1610612751,BKN,2015-11-09,1434.705661230647
1610612752,NYK,2015-11-09,1490.3109102383664
1610612753,ORL,2015-11-09,1492.7358143933993
1610612754,IND,2015-11-09,1493.9614713194908
1610612755,PHI,2015-11-09,1444.0019058033904
1610612756,PHX,2015-11-09,1490.6214651168168
1610612757,POR,2015-11-09,1510.5375385819873
1610612758,SAC,2015-11-09,1454.6764543985823
1610612759,SAS,2015-11-09,1519.2077573554125
1610612760,OKC,2015-11-09,1507.9000438972284
1610612761,TOR,2015-11-09,1524.5035404277062
1610612762,UTA,2015-11-09,1519.1488755060043
1610612763,MEM,2015-11-09,1489.7615095844988
1610612764,WAS,2015-11-09,1499.1025899179158
1610612765,DET,2015-11-09,1537.5939781235124
1610612766,CHA,2015-11-09,1483.5102973983085
1610612739,CLE,2015-11-09,1546.2116612684686
1610612744,GSW,2015-11-09,1563.4922474567045
1610612737,ATL,2015-11-10,1542.692230143099
1610612738,BOS,2015-11-10,1490.9065195313428
1610612740,NOP,2015-11-10,1444.5866989994945
1610612741,CHI,2015-11-10,1515.189646679081
1610612742,DAL,2015-11-10,1498.4517569210152
1610612743,DEN,2015-11-10,1492.447146599971
1610612745,HOU,2015-11-10,1512.8882417584068
1610612746,LAC,2015-11-10,1527.2679718203083
1610612747,LAL,2015-11-10,1461.187904470631
1610612748,MIA,2015-11-10,1510.2870186038458
1610612749,MIL,2015-11-10,1509.6837456534104
1610612750,MIN,2015-11-10,1520.6514439861528
1610612751,BKN,2015-11-10,1434.705661230647
