GAME_ID,GAME_DATE_EST,SEASON,HOME_TEAM_ID,VISITOR_TEAM_ID,HOME_TEAM_WINS,home_rate,away_rate,home_over_overall,away_over_overall,win_avg5_home,Offensive_efficiency_avg5_home,Defensive_efficiency_avg5_home,win_avg5_away,Offensive_efficiency_avg5_away,Defensive_efficiency_avg5_away,elo_home,elo_away
21500061,2015-11-04,2015,1610612764,1610612759,1,0.0,0.6666666666666666,0.0,0.8888888888888888,,,,,,,1508.8499774443094,1520.007812041937
21500063,2015-11-04,2015,1610612739,1610612752,1,1.0,1.0,1.3333333333333333,2.0,,,,,,,1519.6899165315472,1500.000231512095
21500068,2015-11-04,2015,1610612762,1610612757,0,0.0,0.5,0.0,1.0,,,,,,,1509.696196327641,1500.0709752708708
21500065,2015-11-04,2015,1610612749,1610612755,1,0.0,0.0,0.0,0.0,,,,,,,1481.6799691837484,1470.885577495027
21500066,2015-11-04,2015,1610612760,1610612761,0,1.0,1.0,1.3333333333333333,1.0,,,,,,,1517.2196891986828,1538.3110113758562
21500067,2015-11-04,2015,1610612756,1610612758,1,0.5,0.0,1.0,0.0,,,,,,,1501.0692745941249,1480.8379328529672
21500069,2015-11-04,2015,1610612744,1610612746,1,1.0,1.0,1.0,1.0,,,,,,,1537.7528829660944,1538.881563650582
21500064,2015-11-04,2015,1610612745,1610612753,1,0.3333333333333333,0.5,1.3333333333333333,2.0,,,,,,,1482.7722917866972,1481.4116240142532
21500074,2015-11-05,2015,1610612757,1610612763,1,0.5,0.6666666666666666,0.8333333333333334,1.1111111111111112,0.6,1.0195650756023402,0.9971735849246507,0.6,0.964494347336798,1.0531627177296932,1510.347940549978,1509.4490266173163
21500073,2015-11-05,2015,1610612743,1610612762,0,0.0,0.6666666666666666,0.0,1.3333333333333333,,,,,,,1499.9839762641159,1499.419231048534
21500072,2015-11-05,2015,1610612742,1610612766,0,0.0,0.0,0.0,0.0,,,,,,,1499.9840804659473,1482.529314332331
21500071,2015-11-05,2015,1610612750,1610612748,0,0.0,0.0,0.0,0.0,,,,,,,1509.115431523257,1499.464691213703
21500070,2015-11-05,2015,1610612741,1610612760,1,1.0,0.5,1.6666666666666667,0.8333333333333334,0.6,0.9938409369251353,1.0066993411768568,0.6,1.0887363562524845,1.0439938553623573,1507.51091598086,1507.8260016413635
21500075,2015-11-06,2015,1610612753,1610612761,1,0.0,1.0,0.0,1.0,0.2,0.9847879727087069,0.9936861560677619,1.0,1.0566581357109186,0.9514365034325355,1471.4507869806491,1547.7046989331755
21500078,2015-11-06,2015,1610612739,1610612755,1,1.0,0.0,1.25,0.0,0.8,1.0450307913810108,0.9310716640509173,,,,1529.1238077604453,1461.196165135437
21500077,2015-11-06,2015,1610612751,1610612747,0,0.0,0.0,0.0,0.0,0.0,0.9427651099226049,1.0954890248600981,,,,1452.8029504636847,1461.1495493028347
21500079,2015-11-06,2015,1610612752,1610612749,0,0.0,0.5,0.0,1.25,0.4,1.0241698606886127,1.0249837590752682,0.4,1.0327513264694403,1.1115661975431845,1490.566340283197,1491.3693815433385
21500076,2015-11-06,2015,1610612738,1610612764,1,0.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,,,,,,,1479.7775174671192,1519.1710153782751
21500081,2015-11-06,2015,1610612740,1610612737,0,0.0,1.0,0.0,1.2,,,,1.0,1.0324678393504128,0.9580070923287654,1461.4095276284393,1537.1761317698042
21500084,2015-11-06,2015,1610612758,1610612745,0,0.3333333333333333,0.0,1.6666666666666665,0.0,0.2,1.0269002129918678,1.0892833805421358,0.4,0.9695426646284279,1.070923941848127,1471.4195804106066,1492.7331288203013
21500080,2015-11-06,2015,1610612754,1610612748,1,0.3333333333333333,0.5,0.8333333333333333,0.8333333333333334,0.4,0.9673312680443168,1.014102407580149,0.6,1.0429125850455232,0.987947737011786,1492.4835625755761,1509.742390431018
21500082,2015-11-06,2015,1610612756,1610612765,0,0.6666666666666666,1.0,1.1111111111111112,1.3333333333333333,0.6,1.009241560521391,0.9551860281606211,,,,1510.4876270364855,1518.0263981485773
